date, pm25, pm10, o3, no2, so2, co
2022/2/12, 41, , 38, , 1, 3
2022/2/13, 43, , 42, , 1, 2
2022/2/14, 33, , 37, , 1, 5
2022/2/15, 53, , 35, , 4, 5
2022/2/16, 61, , 76, , 6, 5
2022/2/17, 75, , 66, , 3, 5
2022/2/18, 77, , 23, , 3, 6
2022/2/19, 63, , 27, , 1, 5
2022/2/20, 42, , 29, , 1, 4
2022/2/21, 40, , 37, , 1, 4
2022/2/22, 44, , 47, , 13, 6
2022/2/23, 86, , 43, , 4, 8
2022/2/24, 91, , 21, , 1, 7
2022/2/25, 43, , , , , 
2022/1/4, 53, , 58, , 5, 5
2022/1/5, 65, , 21, , 2, 4
2022/1/6, 33, , , , , 
2021/10/2, 59, , 63, , 4, 9
2021/10/3, 56, , 64, , 3, 7
2021/10/4, 52, , 49, , 4, 8
2021/10/5, 70, , 39, , 4, 7
2021/10/6, 72, , 37, , 6, 8
2021/10/7, 66, , 44, , 4, 6
2021/10/8, 51, , 60, , 5, 8
2021/10/9, 70, , 58, , 4, 6
2021/10/10, 58, , 37, , 4, 7
2021/10/11, 58, , 54, , 5, 10
2021/10/12, 60, , 63, , 5, 9
2021/10/13, 57, , 62, , 3, 8
2021/10/14, 58, , 54, , 4, 10
2021/10/15, 72, , 50, , 7, 9
2021/10/16, 71, , 47, , 5, 6
2021/10/17, 58, , 44, , 4, 6
2021/10/18, 54, , 56, , 4, 8
2021/10/19, 62, , 60, , 5, 6
2021/10/20, 67, , 54, , 5, 7
2021/10/21, 63, , 45, , 4, 8
2021/10/22, 53, , 52, , 6, 10
2021/10/23, 68, , 52, , 4, 7
2021/10/24, 47, , 114, , 4, 9
2021/10/25, 53, , 78, , 6, 9
2021/10/26, 64, , 46, , 6, 11
2021/10/27, 70, , 48, , 5, 9
2021/10/28, 63, , 78, , 3, 7
2021/10/29, 55, , 40, , 3, 9
2021/10/30, 56, , 56, , 4, 13
2021/10/31, 82, , 56, , 3, 9
2021/11/1, 60, , 44, , 3, 8
2021/11/2, 50, , 51, , 2, 5
2021/11/3, 36, , 62, , 3, 6
2021/11/4, 44, , 51, , 4, 7
2021/11/5, 55, , 16, , 5, 9
2021/11/6, 60, , 54, , 4, 7
2021/11/7, 55, , 51, , 2, 5
2021/11/8, 56, , 48, , 3, 6
2021/11/9, 57, , 19, , 3, 8
2021/11/10, 45, , 28, , 3, 7
2021/11/11, 47, , 69, , 7, 9
2021/11/12, 70, , 38, , 3, 7
2021/11/13, 55, , 30, , 4, 8
2021/11/14, 60, , 57, , 2, 6
2021/11/15, 52, , 45, , 4, 6
2021/11/16, 54, , 33, , 3, 7
2021/11/17, 52, , 37, , 3, 8
2021/11/18, 49, , 49, , 2, 5
2021/11/19, 45, , 31, , 2, 5
2021/11/20, 34, , 41, , 2, 5
2021/11/21, 49, , 46, , 3, 5
2021/11/22, 58, , 34, , 3, 8
2021/11/23, 64, , 32, , 3, 9
2021/11/24, 49, , 37, , 3, 9
2021/11/25, 55, , 29, , 6, 14
2021/11/26, 71, , 57, , 5, 10
2021/11/27, 76, , 59, , 4, 7
2021/11/28, 54, , 76, , 6, 6
2021/11/29, 62, , 34, , 2, 5
2021/11/30, 52, , 27, , 4, 12
2021/12/1, 72, , 48, , 5, 10
2021/12/2, 74, , 49, , 6, 7
2021/12/3, 68, , 53, , 5, 8
2021/12/4, 68, , 44, , 4, 8
2021/12/5, 41, , 48, , 3, 8
2021/12/6, 51, , 49, , 3, 6
2021/12/7, 46, , 41, , 4, 7
2021/12/8, 52, , 33, , 5, 7
2021/12/9, 63, , 43, , 4, 7
2021/12/10, 62, , 42, , 3, 7
2021/12/11, 49, , 32, , 2, 8
2021/12/12, 41, , 22, , 2, 6
2021/12/13, 26, , 13, , 3, 9
2021/12/14, 41, , 17, , 3, 9
2021/12/15, 43, , 27, , 3, 9
2021/12/16, 58, , 24, , 3, 8
2021/12/17, 46, , 10, , 4, 8
2021/12/18, 54, , 21, , 3, 4
2021/12/19, 52, , 32, , 4, 1
2021/12/20, 45, , 25, , 5, 2
2021/12/21, 44, , 28, , 2, 2
2021/12/22, 42, , 34, , 3, 2
2021/12/23, 46, , 55, , 3, 2
2021/12/24, 52, , 54, , 3, 1
2021/12/25, 48, , 48, , 3, 1
2021/12/26, 49, , 49, , 6, 2
2021/12/27, 53, , 54, , 4, 3
2021/12/28, 62, , 73, , 3, 4
2021/12/29, 66, , 32, , 4, 5
2021/12/30, 61, , 46, , 9, 5
2021/12/31, 68, , 59, , 5, 4
2022/1/1, 61, , 67, , 6, 3
2022/1/2, 77, , 38, , 5, 4
2022/1/3, 39, , 57, , 9, 5
2021/7/2, 32, , 29, , 4, 5
2021/7/3, 31, , 37, , 5, 6
2021/7/4, 36, , 44, , 3, 2
2021/7/5, 14, , 59, , 3, 3
2021/7/6, 27, , 20, , 4, 3
2021/7/7, 24, , , , , 
2021/8/6, 42, , 43, , 3, 6
2021/8/7, 47, , 41, , 3, 7
2021/8/8, 55, , 57, , , 7
2021/8/9, 63, , 54, , 3, 8
2021/8/10, 59, , 41, , 3, 6
2021/8/11, 41, , 42, , 3, 6
2021/8/12, 45, , 38, , 4, 8
2021/8/13, 61, , 45, , 3, 6
2021/8/14, 53, , 53, , 4, 13
2021/8/15, 73, , 52, , 2, 8
2021/8/16, 65, , 42, , 2, 10
2021/8/17, 64, , 40, , 3, 9
2021/8/18, 57, , 47, , 3, 7
2021/8/19, 59, , 54, , 4, 5
2021/8/20, 52, , 68, , 5, 6
2021/8/21, 64, , 46, , 4, 9
2021/8/22, 58, , 46, , 3, 5
2021/8/23, 38, , 49, , 3, 6
2021/8/24, 50, , 44, , 5, 8
2021/8/25, 67, , 28, , 2, 8
2021/8/26, 58, , 44, , 1, 6
2021/8/27, 60, , 52, , 4, 6
2021/8/28, 64, , 47, , 5, 6
2021/8/29, 56, , 44, , 3, 5
