date, pm25, pm10, o3, no2, so2, co
2022/2/12, 46, , 31, , 14, 4
2022/2/13, 38, , 44, , 3, 5
2022/2/14, 33, , 46, , 6, 6
2022/2/15, 42, , 39, , 9, 4
2022/2/16, 43, , 73, , 16, 5
2022/2/17, 62, , 46, , 18, 6
2022/2/18, 63, , 27, , 19, 6
2022/2/19, 58, , 29, , 16, 5
2022/2/20, 43, , 24, , 14, 5
2022/2/21, 38, , 32, , 16, 5
2022/2/22, 39, , 37, , 20, 7
2022/2/23, 80, , 38, , 15, 7
2022/2/24, 73, , 13, , 7, 4
2022/2/25, 21, , , , , 
2022/1/4, 54, , 56, , 12, 5
2022/1/5, 49, , 29, , 6, 3
2022/1/6, 17, , , , , 
2021/10/2, 64, , 54, , 8, 10
2021/10/3, 53, , 40, , 14, 7
2021/10/4, 38, , 26, , 18, 8
2021/10/5, 63, , 37, , 14, 7
2021/10/6, 56, , 31, , 12, 8
2021/10/7, 63, , 29, , 22, 7
2021/10/8, 61, , 38, , 12, 7
2021/10/9, 65, , 41, , 9, 7
2021/10/10, 51, , 21, , 15, 8
2021/10/11, 50, , 34, , 22, 9
2021/10/12, 61, , 37, , 15, 9
2021/10/13, 56, , 45, , 9, 8
2021/10/14, 56, , 36, , 12, 9
2021/10/15, 67, , 42, , 15, 9
2021/10/16, 61, , 34, , 16, 8
2021/10/17, 50, , 39, , 6, 8
2021/10/18, 47, , 52, , 6, 9
2021/10/19, 48, , 53, , 8, 7
2021/10/20, 59, , 43, , 9, 9
2021/10/21, 57, , 42, , 7, 9
2021/10/22, 47, , 38, , 9, 8
2021/10/23, 48, , 46, , 3, 9
2021/10/24, 45, , 94, , 6, 8
2021/10/25, 45, , 73, , 8, 9
2021/10/26, 51, , 38, , 16, 8
2021/10/27, 56, , 53, , 7, 9
2021/10/28, 59, , 68, , 6, 8
2021/10/29, 57, , 37, , 6, 10
2021/10/30, 53, , 55, , 6, 10
2021/10/31, 60, , 47, , 4, 9
2021/11/1, 53, , 42, , 3, 9
2021/11/2, 56, , 42, , 4, 6
2021/11/3, 30, , 54, , 4, 7
2021/11/4, 39, , 48, , 5, 7
2021/11/5, 46, , 12, , 9, 5
2021/11/6, 36, , 38, , 5, 5
2021/11/7, 58, , 39, , 4, 4
2021/11/8, 52, , 44, , 4, 5
2021/11/9, 43, , 35, , 3, 4
2021/11/10, 24, , 32, , 4, 4
2021/11/11, 40, , 65, , 6, 5
2021/11/12, 49, , 48, , 3, 3
2021/11/13, 45, , 34, , 5, 3
2021/11/14, 51, , 50, , 3, 2
2021/11/15, 45, , 41, , 4, 3
2021/11/16, 39, , 33, , 5, 4
2021/11/17, 41, , 45, , 3, 3
2021/11/18, 31, , 44, , 3, 2
2021/11/19, 33, , 31, , 3, 2
2021/11/20, 29, , 40, , 3, 3
2021/11/21, 36, , 52, , 5, 3
2021/11/22, 48, , 44, , 4, 3
2021/11/23, 35, , 33, , 4, 4
2021/11/24, 39, , 40, , 3, 5
2021/11/25, 37, , 30, , 6, 8
2021/11/26, 54, , 51, , 5, 9
2021/11/27, 60, , 59, , 6, 9
2021/11/28, 56, , 67, , 6, 6
2021/11/29, 39, , 36, , 3, 5
2021/11/30, 38, , 43, , 5, 7
2021/12/1, 53, , 46, , 9, 9
2021/12/2, 68, , 44, , 9, 6
2021/12/3, 57, , 50, , 7, 7
2021/12/4, 54, , 47, , 6, 7
2021/12/5, 46, , 46, , 5, 8
2021/12/6, 43, , 42, , 7, 8
2021/12/7, 47, , 35, , 7, 8
2021/12/8, 51, , 33, , 6, 8
2021/12/9, 53, , 41, , 5, 7
2021/12/10, 44, , 40, , 4, 8
2021/12/11, 53, , 40, , 4, 8
2021/12/12, 40, , 25, , 3, 5
2021/12/13, 17, , 22, , 3, 7
2021/12/14, 21, , 21, , 3, 6
2021/12/15, 29, , 34, , 4, 6
2021/12/16, 41, , 28, , 3, 6
2021/12/17, 33, , 20, , 4, 6
2021/12/18, 29, , 26, , 5, 4
2021/12/19, 38, , , , , 
2021/12/21, 58, , 18, , 5, 6
2021/12/22, 24, , 42, , 5, 5
2021/12/23, 30, , 51, , 7, 5
2021/12/24, 49, , 50, , 7, 5
2021/12/25, 43, , 46, , 8, 4
2021/12/26, 43, , 45, , 11, 5
2021/12/27, 55, , 58, , 8, 6
